Title,Link,Country,Keywords,Sentiment Score,Sentiment,Impact on Country
"Defense News, Covering the politics, business and technology of defense",https://www.defensenews.com/,Unknown,"Covering, politics, business, Defense, technology",0.374060422,Positive,Likely Positive
Air Warfare – Global Air Warfare,https://www.defensenews.com/air,Unknown,"Air Warfare, Global Air, Warfare Defense, Warfare Air, warfare programs",0.279518755,Positive,Likely Positive
Land Warfare – Global Land Warfare,https://www.defensenews.com/land,Unknown,"Land Warfare, Global Land, Land Defense, Warfare Land, warfare programs",0.410750725,Positive,Likely Positive
Naval Warfare – Global Naval Warfare,https://www.defensenews.com/naval,Unknown,"Naval Warfare, Global Naval, Naval Defense, Warfare Naval, warfare programs",0.410786398,Positive,Likely Positive
Military Space – Military Space Systems,https://www.defensenews.com/space,Unknown,"Military Space, Space Systems, Systems Space, Space Defense, space programs",0.624756277,Positive,Likely Positive
Fifth Domain,https://www.c4isrnet.com/cyber/?source=dfn-nav,Unknown,"Domain Cyber, private sector, infrastructure cyber, cyber conversations, information resource",0.398424065,Positive,Likely Positive
"C4ISRNET, Media for the Intelligence-Age Military",http://www.c4isrnet.com?source=dfn-nav,Unknown,"Intelligence-Age Military, Media, Military, Intelligence-Age",0.374060422,Positive,Likely Positive
Pentagon News: The latest stories and analysis on DoD decisions and policies,https://www.defensenews.com/pentagon,Unknown,"decision-makers informed, Pentagon Defense, affecting defense, defense programs, policies Pentagon",0.624500483,Positive,Likely Positive
Congress – Congress and Capitol Hill,https://www.defensenews.com/congress,Unknown,"Capitol Hill, Congress Defense, Hill Congress, Hill debates, industry decision-makers",0.563456227,Positive,Likely Positive
Defense News,https://www.defensenews.com/global,Unknown,"Global Defense, decision-makers informed, defense programs, offers premier, industry decision-makers",0.624782354,Positive,Likely Positive
Video – Video and Multimedia,https://www.defensenews.com/video,Unknown,"Watch exclusive, Multimedia Video, Video Watch, exclusive Defense, defense officials",-0.258082139,Negative,Likely Negative
Thought Leadership,https://www.defensenews.com/thought-leadership,Unknown,"Thought Leadership, Leadership, Thought",0.374060422,Positive,Likely Positive
Subscription Portal | Sightline Media Group,https://www.defensenews.com/subscribe,Unknown,"Sightline Media, Group Stay, Subscription Portal, Media Group, defense",0.563789983,Positive,Likely Positive
Air Warfare – Global Air Warfare,https://www.defensenews.com/air,Unknown,"Air Warfare, Global Air, Warfare Defense, Warfare Air, warfare programs",0.279518755,Positive,Likely Positive
Land Warfare – Global Land Warfare,https://www.defensenews.com/land,Unknown,"Land Warfare, Global Land, Land Defense, Warfare Land, warfare programs",0.410750725,Positive,Likely Positive
Naval Warfare – Global Naval Warfare,https://www.defensenews.com/naval,Unknown,"Naval Warfare, Global Naval, Naval Defense, Warfare Naval, warfare programs",0.410786398,Positive,Likely Positive
Pentagon News: The latest stories and analysis on DoD decisions and policies,https://www.defensenews.com/pentagon,Unknown,"decision-makers informed, Pentagon Defense, affecting defense, defense programs, policies Pentagon",0.624500483,Positive,Likely Positive
Congress – Congress and Capitol Hill,https://www.defensenews.com/congress,Unknown,"Capitol Hill, Congress Defense, Hill Congress, Hill debates, industry decision-makers",0.563456227,Positive,Likely Positive
Defense Budget and Appropriations,https://www.defensenews.com/congress/budget,Unknown,"Appropriations Budget, appropriations affecting, decision-makers informed, Defense Budget, Budget Defense",0.624424577,Positive,Likely Positive
Fifth Domain,https://www.c4isrnet.com/cyber/?source=dfn-nav,Unknown,"Domain Cyber, private sector, infrastructure cyber, cyber conversations, information resource",0.398424065,Positive,Likely Positive
"C4ISRNET, Media for the Intelligence-Age Military",http://www.c4isrnet.com?source=dfn-nav,Unknown,"Intelligence-Age Military, Media, Military, Intelligence-Age",0.374060422,Positive,Likely Positive
Military Space – Military Space Systems,https://www.defensenews.com/space,Unknown,"Military Space, Space Systems, Systems Space, Space Defense, space programs",0.624756277,Positive,Likely Positive
Training and Simulation,https://www.defensenews.com/training-sim,Unknown,"Sim Defense, decision-makers informed, simulation programs, Simulation Training, offers premier",0.563669939,Positive,Likely Positive
Unmanned Warfare,https://www.defensenews.com/unmanned,Unknown,"Unmanned Warfare, latest platforms, Warfare Unmanned, Unmanned, Warfare",0.340131881,Positive,Likely Positive
Defense News,https://www.defensenews.com/global,Unknown,"Global Defense, decision-makers informed, defense programs, offers premier, industry decision-makers",0.624782354,Positive,Likely Positive
Asia Pacific,https://www.defensenews.com/global/asia-pacific,Unknown,"Asia Pacific, Pacific Asia, Pacific Defense, decision-makers informed, defense programs",0.624784619,Positive,Likely Positive
Europe and NATO,https://www.defensenews.com/global/europe,Unknown,"NATO Europe, NATO allies, decision-makers informed, Europe Defense, defense strategies",0.624775857,Positive,Likely Positive
Mideast Africa,https://www.defensenews.com/global/mideast-africa,Unknown,"Mideast Africa, Africa Mideast, Africa Defense, decision-makers informed, defense programs",0.624647319,Positive,Likely Positive
The Americas,https://www.defensenews.com/global/the-americas,Unknown,"Americas Defense, decision-makers informed, defense programs, offers premier, industry decision-makers",0.624758005,Positive,Likely Positive
Industry – Industry and Contracting,https://www.defensenews.com/industry,Unknown,"Contracting Industry, Industry Defense, defense programs, offers premier, industrial base",0.785549904,Positive,Likely Positive
Technology and Innovation,https://www.defensenews.com/industry/techwatch,Unknown,"Innovation, Technology",0.374060422,Positive,Likely Positive
Defense News,https://www.defensenews.com/interviews,Unknown,"Interviews Defense, exclusive interviews, offers exclusive, industry decision-makers, Defense",0.623512477,Positive,Likely Positive
Defense News,https://www.defensenews.com/opinion,Unknown,"defense policy, Opinion Defense, industry decision-makers, global debate, Defense",0.622307509,Positive,Likely Positive
Defense News,https://www.defensenews.com/top-100,Unknown,Defense,0.374060422,Positive,Likely Positive
Video – Video and Multimedia,https://www.defensenews.com/video,Unknown,"Watch exclusive, Multimedia Video, Video Watch, exclusive Defense, defense officials",-0.258082139,Negative,Likely Negative
Defense News Weekly,https://www.defensenews.com/video/dntv,Unknown,"Weekly, Defense",0.374060422,Positive,Likely Positive
Money Minute,https://www.defensenews.com/video/money-minute,Unknown,"Money Minute, Minute, Money",0.374060422,Positive,Likely Positive
Defense News,https://www.defensenews.com/outlook,Unknown,Defense,0.374060422,Positive,Likely Positive
Thought Leadership,https://www.defensenews.com/thought-leadership,Unknown,"Thought Leadership, Leadership, Thought",0.374060422,Positive,Likely Positive
Market Intelligence Hub,https://hub.sightlinemediagroup.com/market-intel/,Unknown,"Sightline Media, Media Group, Intelligence Hub, Market Intelligence, Pentagon Learn",-0.023016964,Neutral,Likely Negative
,https://www.defensenews.com/special-coverage/,Unknown,No Keywords,0.374060422,Positive,Likely Positive
"Defense News, Covering the politics, business and technology of defense",https://www.defensenews.com/events/,Unknown,"CALENDAR Click, EVENTS CALENDAR, Events Newsletter, upcoming events, defense EVENTS",-0.389026046,Negative,Likely Negative
"Defense News, Covering the politics, business and technology of defense",https://www.defensenews.com/events/,Unknown,"CALENDAR Click, EVENTS CALENDAR, Events Newsletter, upcoming events, defense EVENTS",-0.389026046,Negative,Likely Negative
Newsletter Signup,https://link.defensenews.com/join/5ba/sign-up?source=dfn-nav,United States,"Gibraltar Gree, Kingdom Afghanistan, Afghanistan Albania, Albania Algeria, Algeria American",-0.010492058,Neutral,Likely Negative
"Defense News, Covering the politics, business and technology of defense",https://www.defensenews.com/events,Unknown,"CALENDAR Click, EVENTS CALENDAR, Events Newsletter, upcoming events, defense EVENTS",-0.389026046,Negative,Likely Negative
Defense News,https://www.defensenews.com/native,Unknown,Defense,0.374060422,Positive,Likely Positive
"Early Bird Brief - Top military, defense and national security headlines.",https://www.defensenews.com/ebb,Unknown,"Early Bird, Top military, security headlines, Bird, national security",-0.025110521,Neutral,Likely Negative
defensenews,https://defensenews-va.newsmemory.com/,Unknown,defensenews,0.374060422,Positive,Likely Positive
Digital Show Daily,https://www.c4isrnet.com/digital-show-dailies/west/,Unknown,"Show Daily, Digital Show, Daily, Show, Digital",0.374060422,Positive,Likely Positive
Surface Navy,https://www.defensenews.com/digital-show-dailies/surface-navy-association/,Unknown,"Surface Navy, Navy, Surface",0.374060422,Positive,Likely Positive
TRANSFORMING AND MODERNIZING MILITARY POLICING,https://hub.defensenews.com/defense-news-transforming-and-modernizing-military-policing-whitepaper/,Unknown,"MODERNIZING MILITARY, MILITARY POLICING, Market Intelligence, Intelligence Newsletter, similar content",0.852449923,Positive,Likely Positive
Black Hawk crew in DC crash may have missed key air traffic messages,https://www.defensenews.com/air/2025/02/14/black-hawk-crew-in-dc-crash-may-have-missed-key-air-traffic-messages/,Unknown,"Black Hawk, Reagan National, National Airport, National Transportation, Hawk crew",-0.378209896,Negative,Likely Negative
Pentagon expands list of commercial drones certified for military use,https://www.defensenews.com/unmanned/2025/02/14/pentagon-expands-list-of-commercial-drones-certified-for-military-use/,Unknown,"Defense Innovation, Innovation Unit, Unit announced, announced Friday, Pentagon expands",-0.111842648,Negative,Likely Negative
"Polish officials offer US more defense buys, joint ammo production",https://www.defensenews.com/global/europe/2025/02/14/polish-officials-offer-us-more-defense-buys-joint-ammo-production/,Germany,"Secretary Pete, Pete Hegseth, Defense Secretary, domestic product, military expenditures",0.238255108,Positive,Likely Positive
Defense News,https://www.defensenews.com/opinion,Unknown,"defense policy, Opinion Defense, industry decision-makers, global debate, Defense",0.622307509,Positive,Likely Positive
What the Pentagon might learn from Ukraine about fielding new tech,https://www.defensenews.com/opinion/2025/02/14/what-the-pentagon-might-learn-from-ukraine-about-fielding-new-tech/,Unknown,"Armed Forces, collecting intelligence, ongoing Russo-Ukrainian, high volume, guiding removal",0.06715848,Positive,Likely Positive
"Turkish government racks up naval, drone deals during Asia trip",https://www.defensenews.com/global/asia-pacific/2025/02/14/turkish-government-racks-up-naval-drone-deals-during-asia-trip/,Indonesia,"President Recep, Recep Tayyip, Asia trip, trip ISTANBUL, Tayyip Erdoğan",0.856733342,Positive,Likely Positive
"As Israel fields Iron Beam, Gulf states are pining for the technology",https://www.defensenews.com/global/mideast-africa/2025/02/14/as-israel-fields-iron-beam-gulf-states-are-pining-for-the-technology/,Unknown,"Iron Beam, technology MILAN, fields Iron, Israel fields, Beam",-0.671447028,Negative,Likely Negative
Black Hawk crew in DC crash may have missed key air traffic messages,https://www.defensenews.com/air/2025/02/14/black-hawk-crew-in-dc-crash-may-have-missed-key-air-traffic-messages/,Unknown,"Black Hawk, Reagan National, National Airport, National Transportation, Hawk crew",-0.378209896,Negative,Likely Negative
Pentagon expands list of commercial drones certified for military use,https://www.defensenews.com/unmanned/2025/02/14/pentagon-expands-list-of-commercial-drones-certified-for-military-use/,Unknown,"Defense Innovation, Innovation Unit, Unit announced, announced Friday, Pentagon expands",-0.111842648,Negative,Likely Negative
