Country,Year,GDP,Per Capita,Growth
united-states,2023,"$27,360.94B","$81,695 ",2.54%
united-states,2022,"$25,744.11B","$77,247 ",1.94%
united-states,2021,"$23,594.03B","$71,056 ",5.80%
united-states,2020,"$21,322.95B","$64,317 ",-2.21%
united-states,2019,"$21,521.40B","$65,548 ",2.47%
united-states,2018,"$20,656.52B","$63,201 ",2.97%
united-states,2017,"$19,612.10B","$60,322 ",2.46%
united-states,2016,"$18,804.91B","$58,207 ",1.82%
united-states,2015,"$18,295.02B","$57,040 ",2.95%
united-states,2014,"$17,608.14B","$55,304 ",2.52%
united-states,2013,"$16,880.68B","$53,410 ",2.12%
united-states,2012,"$16,253.97B","$51,784 ",2.29%
united-states,2011,"$15,599.73B","$50,066 ",1.56%
united-states,2010,"$15,048.97B","$48,651 ",2.70%
united-states,2009,"$14,478.07B","$47,195 ",-2.58%
united-states,2008,"$14,769.86B","$48,570 ",0.11%
united-states,2007,"$14,474.23B","$48,050 ",2.00%
united-states,2006,"$13,815.58B","$46,302 ",2.78%
united-states,2005,"$13,039.20B","$44,123 ",3.48%
united-states,2004,"$12,217.20B","$41,725 ",3.85%
united-states,2003,"$11,456.45B","$39,490 ",2.80%
united-states,2002,"$10,929.11B","$37,998 ",1.70%
united-states,2001,"$10,581.93B","$37,134 ",0.96%
united-states,2000,"$10,250.95B","$36,330 ",4.08%
united-states,1999,"$9,631.17B","$34,515 ",4.79%
united-states,1998,"$9,062.82B","$32,854 ",4.48%
united-states,1997,"$8,577.55B","$31,459 ",4.45%
united-states,1996,"$8,073.12B","$29,968 ",3.77%
united-states,1995,"$7,639.75B","$28,691 ",2.68%
united-states,1994,"$7,287.24B","$27,695 ",4.03%
united-states,1993,"$6,858.56B","$26,387 ",2.75%
united-states,1992,"$6,520.33B","$25,419 ",3.52%
united-states,1991,"$6,158.13B","$24,342 ",-0.11%
united-states,1990,"$5,963.14B","$23,889 ",1.89%
united-states,1989,"$5,641.58B","$22,857 ",3.67%
united-states,1988,"$5,236.44B","$21,417 ",4.18%
united-states,1987,"$4,855.22B","$20,039 ",3.45%
united-states,1986,"$4,579.63B","$19,071 ",3.46%
united-states,1985,"$4,338.98B","$18,237 ",4.17%
united-states,1984,"$4,037.61B","$17,121 ",7.24%
united-states,1983,"$3,634.04B","$15,544 ",4.58%
united-states,1982,"$3,343.79B","$14,434 ",-1.80%
united-states,1981,"$3,207.04B","$13,976 ",2.54%
united-states,1980,"$2,857.31B","$12,575 ",-0.26%
united-states,1979,"$2,627.33B","$11,674 ",3.17%
united-states,1978,"$2,351.60B","$10,565 ",5.54%
united-states,1977,"$2,081.83B","$9,453 ",4.62%
united-states,1976,"$1,873.41B","$8,592 ",5.39%
united-states,1975,"$1,684.90B","$7,801 ",-0.21%
united-states,1974,"$1,545.24B","$7,226 ",-0.54%
united-states,1973,"$1,425.38B","$6,726 ",5.65%
united-states,1972,"$1,279.11B","$6,094 ",5.26%
united-states,1971,"$1,164.85B","$5,609 ",3.29%
united-states,1970,"$1,073.30B","$5,234 ",0.22%
united-states,1969,"$1,017.44B","$5,020 ",3.10%
united-states,1968,$940.23B,"$4,685 ",4.80%
united-states,1967,$859.62B,"$4,326 ",2.50%
united-states,1966,$813.03B,"$4,136 ",6.50%
united-states,1965,$741.90B,"$3,818 ",6.40%
united-states,1964,$684.14B,"$3,565 ",5.80%
united-states,1963,$637.06B,"$3,366 ",4.40%
united-states,1962,$603.64B,"$3,236 ",6.10%
united-states,1961,$561.94B,"$3,059 ",2.30%
united-states,1960,$541.99B,"$3,000 ",%
china,2023,"$17,794.78B","$12,614 ",5.20%
china,2022,"$17,881.78B","$12,663 ",2.99%
china,2021,"$17,820.46B","$12,618 ",8.45%
china,2020,"$14,687.74B","$10,409 ",2.24%
china,2019,"$14,279.97B","$10,144 ",5.95%
china,2018,"$13,894.91B","$9,905 ",6.75%
china,2017,"$12,310.49B","$8,817 ",6.95%
china,2016,"$11,233.31B","$8,094 ",6.85%
china,2015,"$11,061.57B","$8,016 ",7.04%
china,2014,"$10,475.62B","$7,636 ",7.43%
china,2013,"$9,570.47B","$7,020 ",7.77%
china,2012,"$8,532.19B","$6,301 ",7.86%
china,2011,"$7,551.55B","$5,614 ",9.55%
china,2010,"$6,087.19B","$4,550 ",10.64%
china,2009,"$5,101.69B","$3,832 ",9.40%
china,2008,"$4,594.34B","$3,468 ",9.65%
china,2007,"$3,550.33B","$2,694 ",14.23%
china,2006,"$2,752.12B","$2,099 ",12.72%
china,2005,"$2,285.96B","$1,753 ",11.39%
china,2004,"$1,955.35B","$1,509 ",10.11%
china,2003,"$1,660.28B","$1,289 ",10.04%
china,2002,"$1,470.56B","$1,149 ",9.13%
china,2001,"$1,339.40B","$1,053 ",8.34%
china,2000,"$1,211.33B",$959 ,8.49%
china,1999,"$1,094.00B",$873 ,7.66%
china,1998,"$1,029.06B",$829 ,7.85%
china,1997,$961.60B,$782 ,9.24%
china,1996,$863.75B,$709 ,9.92%
china,1995,$734.48B,$610 ,10.95%
china,1994,$564.32B,$473 ,13.04%
china,1993,$444.73B,$377 ,13.88%
china,1992,$426.92B,$366 ,14.22%
china,1991,$383.37B,$333 ,9.26%
china,1990,$360.86B,$318 ,3.92%
china,1989,$347.77B,$311 ,4.21%
china,1988,$312.35B,$284 ,11.22%
china,1987,$272.97B,$252 ,11.66%
china,1986,$300.76B,$282 ,8.95%
china,1985,$309.49B,$294 ,13.43%
china,1984,$259.95B,$251 ,15.19%
china,1983,$230.69B,$225 ,10.77%
china,1982,$205.09B,$203 ,9.02%
china,1981,$195.87B,$197 ,5.11%
china,1980,$191.15B,$195 ,7.83%
china,1979,$178.28B,$184 ,7.59%
china,1978,$149.54B,$156 ,11.33%
china,1977,$174.94B,$185 ,7.57%
china,1976,$153.94B,$165 ,-1.57%
china,1975,$163.43B,$178 ,8.72%
china,1974,$144.19B,$160 ,2.31%
china,1973,$138.54B,$157 ,7.76%
china,1972,$113.69B,$132 ,3.81%
china,1971,$99.80B,$119 ,7.06%
china,1970,$92.60B,$113 ,19.30%
china,1969,$79.71B,$100 ,16.94%
china,1968,$70.85B,$91 ,-4.10%
china,1967,$72.88B,$97 ,-5.77%
china,1966,$76.72B,$104 ,10.65%
china,1965,$70.44B,$98 ,16.95%
china,1964,$59.71B,$85 ,18.18%
