Country,Trade Type,Category,Value,Year
antigua-and-barbuda,Export,"Mineral fuels, oils, distillation products",$7.95M,2023
antigua-and-barbuda,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$3.28M,2023
antigua-and-barbuda,Export,Articles of iron or steel,$3.16M,2023
antigua-and-barbuda,Export,"Beverages, spirits and vinegar",$2.56M,2023
antigua-and-barbuda,Export,"Machinery, nuclear reactors, boilers",$2.13M,2023
antigua-and-barbuda,Export,"Vehicles other than railway, tramway",$1.14M,2023
antigua-and-barbuda,Export,"Ships, boats, and other floating structures",$1.08M,2023
antigua-and-barbuda,Export,"Articles of apparel, not knit or crocheted",$867.12K,2023
antigua-and-barbuda,Export,"Other made textile articles, sets, worn clothing",$831.60K,2023
antigua-and-barbuda,Export,Miscellaneous edible preparations,$788.61K,2023
argentina,Export,"Residues, wastes of food industry, animal fodder",$8.63B,2023
argentina,Export,Cereals,$8.62B,2023
argentina,Export,"Vehicles other than railway, tramway",$8.25B,2023
argentina,Export,"Mineral fuels, oils, distillation products",$6.38B,2023
argentina,Export,"Animal, vegetable fats and oils, cleavage products",$5.70B,2023
argentina,Export,Commodities not specified according to kind,$3.35B,2023
argentina,Export,Meat and edible meat offal,$3.15B,2023
argentina,Export,"Pearls, precious stones, metals, coins",$2.56B,2023
argentina,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$2.10B,2023
argentina,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$1.74B,2023
aruba,Export,Tobacco and manufactures tobacco substitutes,$58.32M,2023
aruba,Export,"Beverages, spirits and vinegar",$14.95M,2023
aruba,Export,"Pearls, precious stones, metals, coins",$8.16M,2023
aruba,Export,Iron and steel,$6.14M,2023
aruba,Export,Commodities not specified according to kind,$4.32M,2023
aruba,Export,"Optical, photo, technical, medical apparatus",$2.05M,2023
aruba,Export,"Essential oils, perfumes, cosmetics, toileteries",$1.90M,2023
aruba,Export,Clocks and watches,$1.77M,2023
aruba,Export,"Machinery, nuclear reactors, boilers",$1.52M,2023
aruba,Export,"Electrical, electronic equipment",$1.46M,2023
bahamas,Export,"Mineral fuels, oils, distillation products",$172.60M,2023
bahamas,Export,"Printed books, newspapers, pictures",$137.51M,2023
