Country,Trade Type,Partner Country,Value (Million USD),Year
united-states,Export,Canada,$348.41B,2024
united-states,Export,Mexico,$334.04B,2024
united-states,Export,China,$143.55B,2024
united-states,Export,Netherlands,$89.64B,2024
united-states,Export,United Kingdom,$79.89B,2024
united-states,Export,Japan,$79.72B,2024
united-states,Export,Germany,$75.38B,2024
united-states,Export,South Korea,$65.54B,2024
united-states,Export,Brazil,$49.67B,2024
united-states,Export,Singapore,$46.02B,2024
china,Export,United States,$501.22B,2023
china,Export,Hong Kong,$274.52B,2023
china,Export,Japan,$157.50B,2023
china,Export,South Korea,$148.98B,2023
china,Export,Vietnam,$137.61B,2023
china,Export,India,$117.68B,2023
china,Export,Russia,$110.94B,2023
china,Export,Germany,$100.57B,2023
china,Export,Netherlands,$100.20B,2023
china,Export,Malaysia,$87.37B,2023
japan,Export,United States,$141.52B,2024
japan,Export,China,$124.63B,2024
japan,Export,South Korea,$46.38B,2024
japan,Export,Hong Kong,$35.94B,2024
japan,Export,Thailand,$26.57B,2024
japan,Export,Singapore,$19.82B,2024
japan,Export,Germany,$17.37B,2024
japan,Export,India,$17.21B,2024
japan,Export,Vietnam,$17.08B,2024
japan,Export,Australia,$15.99B,2024
germany,Export,United States,$116.33B,2024
germany,Export,France,$80.00B,2024
germany,Export,Netherlands,$77.47B,2024
germany,Export,Poland,$66.80B,2024
germany,Export,China,$62.14B,2024
germany,Export,United Kingdom,$57.06B,2024
germany,Export,Italy,$56.52B,2024
germany,Export,Austria,$53.20B,2024
germany,Export,Switzerland,$49.23B,2024
germany,Export,Belgium,$41.42B,2024
united-kingdom,Export,United States,$72.33B,2024
united-kingdom,Export,China,$46.83B,2024
united-kingdom,Export,Germany,$38.51B,2024
united-kingdom,Export,Netherlands,$33.44B,2024
united-kingdom,Export,Switzerland,$29.19B,2024
united-kingdom,Export,France,$28.35B,2024
united-kingdom,Export,Ireland,$23.21B,2024
united-kingdom,Export,Belgium,$20.94B,2024
united-kingdom,Export,United Arab Emirates,$12.35B,2024
united-kingdom,Export,Hong Kong,$11.93B,2024
france,Export,Germany,$86.45B,2023
france,Export,Italy,$57.39B,2023
france,Export,Belgium,$52.22B,2023
france,Export,Spain,$48.33B,2023
france,Export,United States,$45.54B,2023
france,Export,United Kingdom,$38.60B,2023
france,Export,China,$26.64B,2023
france,Export,Netherlands,$24.60B,2023
france,Export,Switzerland,$22.01B,2023
france,Export,Poland,$15.58B,2023
india,Export,United States,$75.81B,2023
india,Export,United Arab Emirates,$33.02B,2023
india,Export,Netherlands,$23.11B,2023
india,Export,China,$16.25B,2023
india,Export,United Kingdom,$12.48B,2023
india,Export,Singapore,$12.04B,2023
india,Export,Bangladesh,$11.25B,2023
india,Export,Saudi Arabia,$10.83B,2023
india,Export,Germany,$9.67B,2023
india,Export,Hong Kong,$8.73B,2023
italy,Export,Germany,$76.82B,2024
italy,Export,United States,$70.16B,2024
italy,Export,France,$67.37B,2024
italy,Export,Spain,$37.37B,2024
italy,Export,Switzerland,$32.71B,2024
italy,Export,United Kingdom,$29.69B,2024
italy,Export,Poland,$21.40B,2024
italy,Export,Belgium,$20.93B,2024
italy,Export,Netherlands,$20.92B,2024
italy,Export,Turkey,$19.08B,2024
brazil,Export,China,$94.41B,2024
brazil,Export,United States,$40.92B,2024
brazil,Export,Argentina,$13.78B,2024
brazil,Export,Netherlands,$11.76B,2024
brazil,Export,Spain,$9.94B,2024
brazil,Export,Singapore,$7.90B,2024
brazil,Export,Mexico,$7.80B,2024
brazil,Export,Chile,$6.66B,2024
brazil,Export,Canada,$6.32B,2024
brazil,Export,Germany,$5.85B,2024
canada,Export,United States,$439.60B,2023
canada,Export,China,$22.60B,2023
canada,Export,Japan,$11.68B,2023
canada,Export,United Kingdom,$10.49B,2023
canada,Export,Mexico,$6.49B,2023
canada,Export,Netherlands,$5.50B,2023
canada,Export,South Korea,$5.14B,2023
canada,Export,Germany,$5.13B,2023
canada,Export,India,$3.78B,2023
canada,Export,Hong Kong,$3.60B,2023
south-korea,Export,China,$124.66B,2023
south-korea,Export,United States,$116.09B,2023
south-korea,Export,Vietnam,$53.47B,2023
south-korea,Export,Japan,$29.00B,2023
south-korea,Export,Hong Kong,$25.19B,2023
south-korea,Export,Singapore,$18.75B,2023
south-korea,Export,India,$17.90B,2023
south-korea,Export,Australia,$17.79B,2023
south-korea,Export,Mexico,$12.22B,2023
south-korea,Export,Germany,$10.31B,2023
russia,Export,China,$68.68B,2021
russia,Export,Netherlands,$42.15B,2021
russia,Export,Germany,$29.65B,2021
russia,Export,Turkey,$26.43B,2021
russia,Export,Belarus,$23.13B,2021
russia,Export,United Kingdom,$22.27B,2021
russia,Export,Italy,$19.28B,2021
russia,Export,Kazakhstan,$18.49B,2021
russia,Export,United States,$17.75B,2021
russia,Export,South Korea,$16.89B,2021
spain,Export,France,$63.20B,2023
spain,Export,Germany,$42.27B,2023
spain,Export,Italy,$34.86B,2023
spain,Export,Portugal,$33.57B,2023
spain,Export,United Kingdom,$24.24B,2023
spain,Export,United States,$19.69B,2023
spain,Export,Belgium,$16.12B,2023
spain,Export,Netherlands,$12.95B,2023
spain,Export,Morocco,$12.82B,2023
spain,Export,Poland,$9.78B,2023
australia,Export,China,$102.63B,2024
australia,Export,Japan,$30.62B,2024
australia,Export,South Korea,$19.87B,2024
australia,Export,India,$16.48B,2024
australia,Export,United States,$14.73B,2024
australia,Export,New Zealand,$8.24B,2024
australia,Export,Indonesia,$8.13B,2024
australia,Export,Hong Kong,$7.78B,2024
australia,Export,Singapore,$7.34B,2024
australia,Export,Vietnam,$6.88B,2024
mexico,Export,United States,$452.29B,2022
mexico,Export,Canada,$15.40B,2022
mexico,Export,China,$10.80B,2022
mexico,Export,Germany,$8.24B,2022
mexico,Export,Japan,$4.34B,2022
mexico,Export,Brazil,$4.28B,2022
mexico,Export,South Korea,$3.69B,2022
mexico,Export,Colombia,$3.61B,2022
mexico,Export,Guatemala,$2.99B,2022
mexico,Export,United Kingdom,$2.87B,2022
indonesia,Export,China,$64.93B,2023
indonesia,Export,United States,$23.28B,2023
indonesia,Export,Japan,$20.79B,2023
indonesia,Export,India,$20.29B,2023
indonesia,Export,Singapore,$12.61B,2023
indonesia,Export,Malaysia,$12.46B,2023
indonesia,Export,Philippines,$11.04B,2023
indonesia,Export,South Korea,$10.30B,2023
indonesia,Export,Vietnam,$7.54B,2023
indonesia,Export,Thailand,$7.22B,2023
turkey,Export,Germany,$20.43B,2024
turkey,Export,United States,$16.35B,2024
turkey,Export,United Kingdom,$15.29B,2024
turkey,Export,Iraq,$13.03B,2024
turkey,Export,Italy,$12.93B,2024
turkey,Export,France,$10.05B,2024
turkey,Export,Spain,$9.80B,2024
turkey,Export,Netherlands,$8.57B,2024
turkey,Export,Russia,$8.56B,2024
turkey,Export,United Arab Emirates,$8.29B,2024
netherlands,Export,Germany,$160.84B,2024
netherlands,Export,Belgium,$85.94B,2024
netherlands,Export,France,$56.45B,2024
netherlands,Export,United Kingdom,$44.89B,2024
netherlands,Export,United States,$41.47B,2024
netherlands,Export,Italy,$29.58B,2024
netherlands,Export,Spain,$24.58B,2024
netherlands,Export,China,$22.30B,2024
netherlands,Export,Poland,$22.06B,2024
netherlands,Export,Sweden,$14.51B,2024
switzerland,Export,United States,$73.38B,2024
switzerland,Export,Germany,$51.33B,2024
switzerland,Export,China,$42.39B,2024
switzerland,Export,Slovenia,$29.99B,2024
switzerland,Export,Italy,$27.91B,2024
switzerland,Export,India,$22.59B,2024
switzerland,Export,United Kingdom,$22.49B,2024
switzerland,Export,France,$21.11B,2024
switzerland,Export,Hong Kong,$12.22B,2024
switzerland,Export,United Arab Emirates,$11.26B,2024
saudi-arabia,Export,China,$53.16B,2023
saudi-arabia,Export,Japan,$32.49B,2023
saudi-arabia,Export,India,$30.23B,2023
saudi-arabia,Export,South Korea,$28.59B,2023
saudi-arabia,Export,United Arab Emirates,$16.62B,2023
saudi-arabia,Export,United States,$15.64B,2023
